date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,person,Day,12AM - 2AM,2AM - 4AM,4AM - 6AM,6AM - 8AM,8AM - 10AM,10AM - 12PM,12PM - 2PM,2PM - 4PM,4PM - 6PM,6PM - 8PM,8PM - 10PM,10PM - 12AM,workout,avg_meal_interval,deepSleepTime_norm,custom_sleep_score
3/1/2025,85,340,0,2025-03-01 00:51:00+0000,2025-03-01 09:00:00+0000,64,x1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,2.4,0.574468085,57.44680851
3/3/2025,96,340,12,2025-03-03 01:41:00+0000,2025-03-03 10:01:00+0000,52,x1,2,1,0,0,0,0,1,1,1,0,1,1,1,1,3.666666667,0.808510638,80.85106383
3/4/2025,90,253,4,2025-03-04 02:33:00+0000,2025-03-04 10:04:00+0000,104,x1,3,0,0,0,0,0,1,1,1,0,1,1,1,1,2.4,0.680851064,68.08510638
3/6/2025,90,348,0,2025-03-06 01:57:00+0000,2025-03-06 10:12:00+0000,57,x1,4,0,0,0,0,0,1,1,1,0,1,1,1,1,2.4,0.680851064,68.08510638
3/7/2025,85,377,0,2025-03-07 01:59:00+0000,2025-03-07 10:56:00+0000,75,x1,5,1,0,0,0,0,1,1,1,1,0,1,1,1,3.666666667,0.574468085,57.44680851
3/8/2025,63,380,1,2025-03-08 02:08:00+0000,2025-03-08 10:26:00+0000,54,x1,6,1,0,0,0,0,0,1,1,1,0,1,1,0,4.4,0.106382979,10.63829787
3/9/2025,85,308,0,2025-03-09 00:53:00+0000,2025-03-09 08:47:00+0000,81,x1,7,0,0,0,0,0,1,1,1,0,1,1,0,0,2.5,0.574468085,57.44680851
3/13/2025,75,239,50,2025-03-13 01:50:00+0000,2025-03-13 09:51:00+0000,117,x1,8,0,0,0,0,0,1,1,1,0,1,1,1,1,2.4,0.361702128,36.17021277
3/14/2025,93,292,0,2025-03-14 00:27:00+0000,2025-03-14 07:45:00+0000,53,x1,9,0,0,1,0,1,1,0,0,1,1,0,1,1,3.6,0.744680851,74.46808511
3/15/2025,95,296,42,2025-03-15 02:02:00+0000,2025-03-15 11:49:00+0000,154,x1,10,0,1,1,1,0,0,0,0,0,0,0,1,1,6.666666667,0.787234043,78.72340426
3/16/2025,58,272,0,2025-03-16 00:24:00+0000,2025-03-16 07:49:00+0000,115,x1,11,0,0,0,0,0,1,0,0,1,0,0,1,1,6,0,0
3/18/2025,68,364,0,2025-03-18 00:03:00+0000,2025-03-18 08:26:00+0000,71,x1,12,0,1,1,1,0,1,0,1,0,0,0,0,1,3,0.212765957,21.27659574
3/19/2025,105,262,0,2025-03-19 00:27:00+0000,2025-03-19 08:40:00+0000,126,x1,13,0,1,1,0,0,1,1,0,0,0,1,0,0,4.5,1,100
3/20/2025,74,354,8,2025-03-20 00:09:00+0000,2025-03-20 08:37:00+0000,72,x1,14,1,0,1,1,0,0,0,1,1,0,0,0,0,4,0.340425532,34.04255319
3/21/2025,74,316,7,2025-03-20 23:59:00+0000,2025-03-21 07:47:00+0000,71,x1,15,1,0,0,0,0,0,0,0,0,1,0,1,1,11,0.340425532,34.04255319
3/22/2025,95,396,32,2025-03-22 01:05:00+0000,2025-03-22 11:06:00+0000,78,x1,16,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.787234043,78.72340426
