person,Day,custom_sleep_score,number_of_meals,avg_meal_interval,workout
x3,1,51.3316098,2,4,1
x3,2,49.52895552,2,4,1
x3,3,72.16535635,2,4,1
x3,4,58.15754251,2,4,0
x3,5,62.42742916,2,4,0
x3,6,63.3263102,2,4,0
x3,7,70.62031082,2,4,0
x3,8,64.92230239,4,,1
x3,9,65.9959818,2,4,1
x3,10,62.06769931,1,,1
x3,11,58.87126995,3,10,0
x3,12,64.02093497,2,2,0
x3,13,57.49645571,1,,0
x3,14,64.14827611,3,11,0
x3,15,69.73238305,3,2,1
x3,16,56.29978356,1,,1
x4,1,58.39839629,2,4,0
x4,2,59.00905688,2,4,0
x4,3,55.63215534,2,4,0
x4,4,64.08697654,1,,0
x4,5,62.92455651,3,11,0
x4,6,65.63819881,3,5,0
x4,7,73.39363253,2,6,0
x4,8,69.24214913,4,,0
x4,9,48.79039762,5,3.5,0
x4,10,62.60012948,4,6,0
x4,11,64.35114207,1,,0
x4,12,70.73127913,1,,0
x4,13,64.37750515,3,7,0
x4,14,58.46711889,3,3,0
x4,15,67.28455638,3,11,0
x4,16,71.8933033,4,4.666666667,0
x2,1,46.78730993,4,7.333333333,1
x2,2,44.36454046,3,10,1
x2,3,44.54064356,3,11,1
x2,4,45.54257334,3,11,0
x2,5,47.4226468,4,6.666666667,0
x2,6,46.77958499,3,,0
x2,7,47.65326167,5,11,0
x2,8,60.92754352,5,2,1
x2,9,59.7021583,2,2,1
x2,10,48.17878464,2,2,1
x2,11,58.04711312,1,,0
x2,12,51.47105168,4,7.333333333,0
x2,13,62.51505641,2,4,0
x2,14,62.29444573,3,9,0
x2,15,58.99797421,2,6,1
x2,16,67.9151433,2,4,1
x5,1,54.00851474,4,4,1
x5,2,56.97703361,4,4,0
x5,3,54.32640825,4,3.333333333,0
x5,4,60.02939257,4,4.666666667,0
x5,5,62.21220152,4,6.666666667,0
x5,6,47.0006482,5,5,0
x5,7,39.62083172,4,4,0
x5,8,59.54406588,6,2,1
x5,9,51.6801861,2,2,0
x5,10,59.61860406,2,8,0
x5,11,45.99514898,5,4.5,0
x5,12,65.56246402,3,7,0
x5,13,68.01949625,4,6.666666667,0
x5,14,61.53500096,1,,0
x5,15,61.738347,0,,1
x5,16,66.70875923,3,6,0
